code;url;product_name;brands;stores;nutrition_grade_fr;categories;main_category_fr;countries_fr;image_url;image_small_url;last_modified_t
3350031876707;http://world-fr.openfoodfacts.org/produit/3350031876707/crepes-dentelle-au-chocolat-au-lait-monoprix-gourmet;Crêpes dentelle au chocolat au lait ;Monoprix Gourmet,Monoprix;Monoprix;e;Crêpes Dentelles,Crêpes de froment,Crêpes au chocolat,Biscuits au chocolat au lait;Biscuits;France;;;1495005810
3350031902321;http://world-fr.openfoodfacts.org/produit/3350031902321/petit-beurre-48-de-chocolat-noir-monoprix;Petit beurre 48 % de chocolat noir;Monoprix;Monoprix;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat,Biscuits au chocolat noir;Biscuits;France;http://fr.openfoodfacts.org/images/products/335/003/190/2321/front.7.400.jpg;http://fr.openfoodfacts.org/images/products/335/003/190/2321/front.7.200.jpg;1458589589
3350031902369;http://world-fr.openfoodfacts.org/produit/3350031902369/gouter-fourres-cacao-monoprix;Goûter fourrés Cacao;Monoprix,Monoprix Bio;Monoprix;d;Biscuits,Biscuits au chocolat;Biscuits;France;http://fr.openfoodfacts.org/images/products/335/003/190/2369/front.13.400.jpg;http://fr.openfoodfacts.org/images/products/335/003/190/2369/front.13.200.jpg;1426953785
3350031902376;http://world-fr.openfoodfacts.org/produit/3350031902376/biscuit-petit-epeautre-sesame-monoprix-bio;Biscuit petit épeautre & sésame;Monoprix bio;;d;Biscuits;Biscuits;France;http://fr.openfoodfacts.org/images/products/335/003/190/2376/front.5.400.jpg;http://fr.openfoodfacts.org/images/products/335/003/190/2376/front.5.200.jpg;1504975729
3350031902765;http://world-fr.openfoodfacts.org/produit/3350031902765/petits-beurre-chocolat-noir-monoprix;Petits Beurre Chocolat Noir;Monoprix;;e;Biscuits au chocolat noir;Biscuits;France;;;1492900369
3350031909160;http://world-fr.openfoodfacts.org/produit/3350031909160/gouters-fourres-gout-chocolat-monoprix;Goûters fourrés goût chocolat;monoprix;;d;Biscuits au chocolat;Biscuits;France;http://fr.openfoodfacts.org/images/products/335/003/190/9160/front.8.400.jpg;http://fr.openfoodfacts.org/images/products/335/003/190/9160/front.8.200.jpg;1459170580
3350031923081;http://world-fr.openfoodfacts.org/produit/3350031923081/galettes-bretonnes-pur-beurre-monoprix;Galettes bretonnes pur beurre;Monoprix;Monoprix;e;Biscuits,Galettes bretonnes;Biscuits;France;http://fr.openfoodfacts.org/images/products/335/003/192/3081/front.16.400.jpg;http://fr.openfoodfacts.org/images/products/335/003/192/3081/front.16.200.jpg;1473804005
3350031932915;http://world-fr.openfoodfacts.org/produit/3350031932915/galettes-suedoises-chocolat-crousrillants-aux-flocons-d-avoine-monoprix;Galettes suédoises chocolat crousrillants aux flocons d'avoine;Monoprix;Monoprix;e;en:sugary-snacks, en:biscuits-and-cakes, en:biscuits, en:chocolate-biscuits, fr:Galettes suédoises;Biscuits;France;http://fr.openfoodfacts.org/images/products/335/003/193/2915/front.11.400.jpg;http://fr.openfoodfacts.org/images/products/335/003/193/2915/front.11.200.jpg;1500907030
3350033083950;http://world-fr.openfoodfacts.org/produit/3350033083950/petit-tendre-forza;Petit Tendre;Forza;Monoprix;c;Biscuits;Biscuits;France;;;1396821462
3350033092419;http://world-fr.openfoodfacts.org/produit/3350033092419/biscuit-sable-panda-gout-vanille-cacao-x-8-monoprix;Biscuit Sablé Panda Goût Vanille Cacao (x 8);Monoprix;Monoprix;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits sablés;Biscuits;France;http://fr.openfoodfacts.org/images/products/335/003/309/2419/front.16.400.jpg;http://fr.openfoodfacts.org/images/products/335/003/309/2419/front.16.200.jpg;1459189082
