code;url;product_name;brands;stores;nutrition_grade_fr;categories;main_category_fr;countries_fr;image_url;image_small_url;last_modified_t;energy_100g;fat_100g;carbohydrates_100g;sugars_100g;fiber_100g;proteins_100g;salt_100g
7610216551055;http://world-fr.openfoodfacts.org/produit/7610216551055/twisties-oignon-ciboulette-kambly;Twisties Oignon Ciboulette;Kambly;Carrefour;e;Biscuits feuilletés,Biscuits salés;Biscuits;France;https://static.openfoodfacts.org/images/products/761/021/655/1055/front_fr.6.400.jpg;https://static.openfoodfacts.org/images/products/761/021/655/1055/front_fr.6.200.jpg;1487437961;2112.0;26.0;55.0;4.5;;11.0;1.8
7610818287055;http://world-fr.openfoodfacts.org/produit/7610818287055/biscuits-de-noel-naturaplan;Biscuits de Noël;Naturaplan;;d;Biscuits,Aliments et boissons de Noël;Biscuits;France;https://static.openfoodfacts.org/images/products/761/081/828/7055/front_fr.4.400.jpg;https://static.openfoodfacts.org/images/products/761/081/828/7055/front_fr.4.200.jpg;1515275390;1992.0;22.0;62.0;38.0;3.5;7.0;0.2
7612100063507;http://world-fr.openfoodfacts.org/produit/7612100063507/ovomaltine-crunchy;Ovomaltine Crunchy;Ovomaltine;;e;Biscuits;Biscuits;France;https://static.openfoodfacts.org/images/products/761/210/006/3507/front_fr.3.400.jpg;https://static.openfoodfacts.org/images/products/761/210/006/3507/front_fr.3.200.jpg;1520972014;2092.0;23.5;63.5;33.0;0.0;7.5;0.6
7612100065167;http://world-fr.openfoodfacts.org/produit/7612100065167/ovomaltine-crunchy-ovo-maltine;Ovomaltine Crunchy;Ovo Maltine;;e;Biscuits au chocolat,Biscuits fourrés;Biscuits;France;https://static.openfoodfacts.org/images/products/761/210/006/5167/front_fr.8.400.jpg;https://static.openfoodfacts.org/images/products/761/210/006/5167/front_fr.8.200.jpg;1503173927;2092.0;23.5;63.5;33.0;;7.5;0.6
7613035345034;http://world-fr.openfoodfacts.org/produit/7613035345034/galak-limited-edition-biscuits-nestle;Galak limited edition Biscuits;Nestlé,Galak;;e;Biscuits au chocolat blanc;Biscuits;France;https://static.openfoodfacts.org/images/products/761/303/534/5034/front_fr.3.400.jpg;https://static.openfoodfacts.org/images/products/761/303/534/5034/front_fr.3.200.jpg;1509046046;2326.0;34.3;54.4;51.7;0.1;7.7;0.4
7613269457985;http://world-fr.openfoodfacts.org/produit/7613269457985/nids-aux-noisettes-migros;Nids aux noisettes;MIGROS;;d;fr:Biscuits;Biscuits;France;https://static.openfoodfacts.org/images/products/761/326/945/7985/front_fr.9.400.jpg;https://static.openfoodfacts.org/images/products/761/326/945/7985/front_fr.9.200.jpg;1522781247;1778.0;13.0;70.0;56.0;2.0;6.0;0.2
7614800120009;http://world-fr.openfoodfacts.org/produit/7614800120009/bretzeli-kambly;Bretzeli;Kambly;Aperto;e;Biscuits;Biscuits;France;https://static.openfoodfacts.org/images/products/761/480/012/0009/front_fr.14.400.jpg;https://static.openfoodfacts.org/images/products/761/480/012/0009/front_fr.14.200.jpg;1524896600;2021.0;19.0;68.0;26.0;;8.0;0.4
7614800150037;http://world-fr.openfoodfacts.org/produit/7614800150037/butterfly-kambly;Butterfly;Kambly;;e;Snacks sucrés,Biscuits et gâteaux,Biscuits;Biscuits;France;https://static.openfoodfacts.org/images/products/761/480/015/0037/front_fr.11.400.jpg;https://static.openfoodfacts.org/images/products/761/480/015/0037/front_fr.11.200.jpg;1511445492;2002.0;18.0;70.0;33.0;;7.3;0.46
7614800170004;http://world-fr.openfoodfacts.org/produit/7614800170004/biscuits-butterfly-kambly;Biscuits BUTTERFLY;Kambly;Coop;e;en:sugary-snacks, en:biscuits-and-cakes, en:biscuits;Biscuits;France;https://static.openfoodfacts.org/images/products/761/480/017/0004/front_fr.15.400.jpg;https://static.openfoodfacts.org/images/products/761/480/017/0004/front_fr.15.200.jpg;1525881224;1996.0;18.0;70.0;33.0;;7.3;0.5
7614800245009;http://world-fr.openfoodfacts.org/produit/7614800245009/florentin-kambly;Florentin;Kambly;;e;Biscuits au chocolat;Biscuits;France;https://static.openfoodfacts.org/images/products/761/480/024/5009/front_fr.15.400.jpg;https://static.openfoodfacts.org/images/products/761/480/024/5009/front_fr.15.200.jpg;1524833352;2330.0;33.0;54.0;40.0;0.0;8.8;0.2
